contrast,feature,n_present,n_total,present_genes,missing_genes
GSE36761_TOF_RV_vs_healthy_RV,arterial_maturation,7,8,NOTCH1;DLL4;JAG1;HEY1;HEY2;EFNB2;SOX17,GJA5
GSE36761_TOF_RV_vs_healthy_RV,endothelial_matrix_core,7,7,FN1;VCAN;COL4A1;COL4A2;LAMA4;ITGA5;ITGB1,
GSE36761_TOF_RV_vs_healthy_RV,tgfb_plasticity_transcript,8,8,TGFB1;TGFB2;TGFBR1;TGFBR2;SMAD2;SMAD3;SNAI1;SNAI2,
GSE36761_TOF_RV_vs_healthy_RV,endothelial_abundance,6,7,CDH5;VWF;EMCN;KDR;FLT1;TEK,PECAM1
GSE36761_TOF_RV_vs_healthy_RV,fibroblast,6,6,COL1A1;COL1A2;COL3A1;DCN;LUM;PDGFRA,
GSE36761_TOF_RV_vs_healthy_RV,cardiomyocyte,6,6,TNNT2;ACTC1;MYH6;MYH7;TNNI3;MYL2,
GSE36761_TOF_RV_vs_healthy_RV,immune,5,5,PTPRC;LST1;TYROBP;CD68;FCER1G,
GSE36761_TOF_RV_vs_healthy_RV,mural_pericyte,7,7,RGS5;CSPG4;MCAM;PDGFRB;DES;ACTA2;TAGLN,
GSE217772_TOF_RV_vs_healthy_RV,arterial_maturation,8,8,NOTCH1;DLL4;JAG1;HEY1;HEY2;EFNB2;GJA5;SOX17,
GSE217772_TOF_RV_vs_healthy_RV,endothelial_matrix_core,7,7,FN1;VCAN;COL4A1;COL4A2;LAMA4;ITGA5;ITGB1,
GSE217772_TOF_RV_vs_healthy_RV,tgfb_plasticity_transcript,8,8,TGFB1;TGFB2;TGFBR1;TGFBR2;SMAD2;SMAD3;SNAI1;SNAI2,
GSE217772_TOF_RV_vs_healthy_RV,endothelial_abundance,7,7,PECAM1;CDH5;VWF;EMCN;KDR;FLT1;TEK,
GSE217772_TOF_RV_vs_healthy_RV,fibroblast,6,6,COL1A1;COL1A2;COL3A1;DCN;LUM;PDGFRA,
GSE217772_TOF_RV_vs_healthy_RV,cardiomyocyte,6,6,TNNT2;ACTC1;MYH6;MYH7;TNNI3;MYL2,
GSE217772_TOF_RV_vs_healthy_RV,immune,5,5,PTPRC;LST1;TYROBP;CD68;FCER1G,
GSE217772_TOF_RV_vs_healthy_RV,mural_pericyte,7,7,RGS5;CSPG4;MCAM;PDGFRB;DES;ACTA2;TAGLN,
GSE23959_HLHS_ventricle_vs_healthy_RV,arterial_maturation,8,8,NOTCH1;DLL4;JAG1;HEY1;HEY2;EFNB2;GJA5;SOX17,
GSE23959_HLHS_ventricle_vs_healthy_RV,endothelial_matrix_core,7,7,FN1;VCAN;COL4A1;COL4A2;LAMA4;ITGA5;ITGB1,
GSE23959_HLHS_ventricle_vs_healthy_RV,tgfb_plasticity_transcript,8,8,TGFB1;TGFB2;TGFBR1;TGFBR2;SMAD2;SMAD3;SNAI1;SNAI2,
GSE23959_HLHS_ventricle_vs_healthy_RV,endothelial_abundance,7,7,PECAM1;CDH5;VWF;EMCN;KDR;FLT1;TEK,
GSE23959_HLHS_ventricle_vs_healthy_RV,fibroblast,6,6,COL1A1;COL1A2;COL3A1;DCN;LUM;PDGFRA,
GSE23959_HLHS_ventricle_vs_healthy_RV,cardiomyocyte,6,6,TNNT2;ACTC1;MYH6;MYH7;TNNI3;MYL2,
GSE23959_HLHS_ventricle_vs_healthy_RV,immune,5,5,PTPRC;LST1;TYROBP;CD68;FCER1G,
GSE23959_HLHS_ventricle_vs_healthy_RV,mural_pericyte,7,7,RGS5;CSPG4;MCAM;PDGFRB;DES;ACTA2;TAGLN,
