sample_id,communities,n_cells,mean_coarse_attenuation
R77_4C4,Inner-LV,166,0.19206946674826297
R77_4C4,Inner-RV,67,0.365001109668646
R77_4C4,Outer-LV,1508,0.5872777260458062
R77_4C4,Outer-RV,841,0.7282085005549914
R78_4C12,Inner-LV,138,0.3652541069480566
R78_4C12,Inner-RV,72,0.4624164752086538
R78_4C12,Outer-LV,1770,0.6173356689563547
R78_4C12,Outer-RV,770,0.8300617404894353
R78_4C15,Inner-LV,230,0.309950846119683
R78_4C15,Inner-RV,258,0.2763782443973229
R78_4C15,Outer-LV,1697,0.5114274206127333
R78_4C15,Outer-RV,777,0.7622620119041054
