dataset,module,present_genes,missing_genes,n_present,n_total,coverage_fraction
GSE36761,arterial_maturation,NOTCH1;DLL4;JAG1;HEY1;HEY2;EFNB2;SOX17,GJA5,7,8,0.875
GSE36761,ecm_integrin,FN1;POSTN;COL1A1;COL1A2;COL3A1;COL4A1;COL4A2;VCAN;ITGA5;ITGB1;LAMA4;DCN,,12,12,1.0
GSE36761,tgfb_endmt,TGFB1;TGFB2;TGFBR1;TGFBR2;SMAD2;SMAD3;SNAI1;SNAI2;TAGLN;ACTA2;VIM;FN1,,12,12,1.0
GSE217772,arterial_maturation,NOTCH1;DLL4;JAG1;HEY1;HEY2;EFNB2;GJA5;SOX17,,8,8,1.0
GSE217772,ecm_integrin,FN1;POSTN;COL1A1;COL1A2;COL3A1;COL4A1;COL4A2;VCAN;ITGA5;ITGB1;LAMA4;DCN,,12,12,1.0
GSE217772,tgfb_endmt,TGFB1;TGFB2;TGFBR1;TGFBR2;SMAD2;SMAD3;SNAI1;SNAI2;TAGLN;ACTA2;VIM;FN1,,12,12,1.0
GSE132176,arterial_maturation,NOTCH1;DLL4;JAG1;HEY1;HEY2;EFNB2;GJA5;SOX17,,8,8,1.0
GSE132176,ecm_integrin,FN1;POSTN;COL1A1;COL1A2;COL3A1;COL4A1;COL4A2;VCAN;ITGA5;ITGB1;LAMA4;DCN,,12,12,1.0
GSE132176,tgfb_endmt,TGFB1;TGFB2;TGFBR1;TGFBR2;SMAD2;SMAD3;SNAI1;SNAI2;TAGLN;ACTA2;VIM;FN1,,12,12,1.0
GSE23959,arterial_maturation,NOTCH1;DLL4;JAG1;HEY1;HEY2;EFNB2;GJA5;SOX17,,8,8,1.0
GSE23959,ecm_integrin,FN1;POSTN;COL1A1;COL1A2;COL3A1;COL4A1;COL4A2;VCAN;ITGA5;ITGB1;LAMA4;DCN,,12,12,1.0
GSE23959,tgfb_endmt,TGFB1;TGFB2;TGFBR1;TGFBR2;SMAD2;SMAD3;SNAI1;SNAI2;TAGLN;ACTA2;VIM;FN1,,12,12,1.0
